,goodsCode,qty,bigbox,smallbox,box,sore
39,660110010004	,62374.0,120,60.0,5,711.0
40,031121501041	,61240.0,100,20.0,5,9630.0
41,660010500016	,59773.0,20,20.0,5,87.0
42,031121501037	,59193.0,100,20.0,5,8785.0
43,660250010177	,58752.0,80,40.0,5,56.0
44,031160104038	,57425.0,40,20.0,5,2148.0
45,020080010005	,56215.0,120,60.0,5,1438.0
46,660240010208	,56033.0,80,40.0,5,63.0
47,031121501018	,54251.0,100,20.0,5,8644.0
48,031150601263	,52729.0,120,60.0,5,753.0
49,660240010220	,51396.0,80,40.0,5,483.0
50,031160203018	,51359.0,200,50.0,5,2442.0
51,031160104040	,50914.0,40,20.0,5,1983.0
52,020020010024	,50438.0,40,20.0,5,2910.0
53,660270030015	,50360.0,120,60.0,5,401.0
54,660010010527	,50177.0,30,30.0,5,470.0
55,660200010209	,49254.0,120,60.0,10,496.0
56,031150601191	,49166.0,120,60.0,5,2459.0
57,660240010234	,46701.0,80,40.0,5,279.0
58,031121501044	,46396.0,100,20.0,5,8009.0
59,660250020041	,44529.0,60,60.0,5,40.0
60,660430020001	,44383.0,100,100.0,10,820.0
61,660110010042	,44359.0,120,60.0,5,443.0
62,660010020330	,44286.0,120,60.0,5,364.0
63,031150602030	,43143.0,400,100.0,10,1683.0
64,660050020037	,42987.0,120,120.0,10,1734.0
65,660330050003	,42742.0,120,120.0,10,946.0
66,031150601123	,42740.0,120,60.0,5,1027.0
67,031160103148	,41857.0,80,40.0,5,3055.0
68,660250010142	,40997.0,80,40.0,5,445.0
69,031121501023	,39878.0,100,20.0,5,7065.0
70,660010020032	,38638.0,120,60.0,5,581.0
71,660200010969	,38628.0,120,60.0,10,361.0
72,031121501009	,38183.0,100,20.0,5,7655.0
73,031160203065	,38133.0,120,60.0,5,3713.0
74,660010500015	,37915.0,20,20.0,5,78.0
75,031160203003	,37573.0,200,50.0,5,1023.0
76,031132501008	,36092.0,40,20.0,5,1819.0
77,031150601136	,35684.0,120,60.0,5,1883.0
78,660050020205	,34630.0,200,200.0,10,1481.0
79,031132302006	,34497.0,40,20.0,5,3506.0
80,660050020036	,33728.0,200,200.0,20,1079.0
81,670050020001	,33339.0,40,20.0,5,196.0
82,660200010169	,32932.0,120,60.0,10,452.0
83,660110010089	,32224.0,80,40.0,10,227.0
84,660110010079	,31852.0,80,40.0,10,114.0
85,660110010081	,31778.0,80,40.0,5,80.0
86,660010020192	,31765.0,120,60.0,5,455.0
87,660140020026	,31658.0,40,20.0,5,863.0
88,031121501046	,31122.0,100,20.0,5,6436.0
89,670030010002	,31046.0,40,40.0,5,1018.0
90,660200010855	,31037.0,120,120.0,10,229.0
91,031150601146	,31029.0,120,60.0,5,1471.0
92,660240010232	,30884.0,80,40.0,5,574.0
93,031121501036	,30463.0,100,20.0,5,6904.0
94,660200010101	,29643.0,100,100.0,10,347.0
95,660200010009	,29346.0,150,150.0,10,387.0
96,031160203079	,29003.0,120,60.0,5,868.0
97,031121501032	,29002.0,100,20.0,5,6291.0
98,660330020001	,28341.0,80,40.0,5,467.0
99,660010020210	,27934.0,120,60.0,5,422.0
100,031121501042	,27804.0,100,20.0,5,6374.0
101,031121501017	,27506.0,100,20.0,5,6348.0
102,020020010026	,26944.0,20,20.0,5,1234.0
103,031131802003	,26397.0,40,20.0,5,1575.0
104,660120030003	,26153.0,120,120.0,15,113.0
105,660200010158	,25802.0,120,60.0,5,752.0
106,020080010009	,25796.0,120,60.0,10,1279.0
107,660430010038	,25738.0,60,60.0,10,450.0
108,031160103011	,25681.0,80,40.0,5,750.0
109,031150602034	,25352.0,120,60.0,10,675.0
